Product Details,ASIN,Segment,PackSize,URL,Image URL,Brand,Price  £,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  £,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller
"Fruit Fly Traps, Pack 60 Yellow Double-sided Fungus Gnat Sticky Catcher for Plants Indoor and Outdoor Insects Fly Control - Non-Toxic, Waterproof",B0CH9RPT5N,Sticky Trap,,https://www.amazon.co.uk/dp/B0CH9RPT5N?psc=1,https://m.media-amazon.com/images/I/71eWZ9IgG7L._SX342_.jpg,aonova,6.94,"4,639",397,200,"22,699.06","2,376.31",145,481,N/A,3.38,1,4.4,"5,209",7,68,EASTERN FISH LIMITED,Garden,Standard Envelope,FBA,14.80 x 2.40 x 14.80 cm,0.2,N/A,"Oct 6, 2023",,No,29,EASTERN FISH LIMITED
"VEYOFLY Fly Trap Indoor, Fruit Flies Traps for Indoors (2 Device + 6 Refills) Gnat Trap for House Indoor, Fly Catcher, Plug in Light Flying Insect, Bug Light Killer",B0BDT4XZR4,Electric,,https://www.amazon.co.uk/dp/B0BDT4XZR4?psc=1,https://m.media-amazon.com/images/I/617ZCdeaSxL._AC_SY355_.jpg,VEYOFLY,34.75,128,81,50,"3,280.78","2,440.52",164,"8,184",US,8.34,1,3.9,"8,009",9,87,VEYOFLY UK,Garden,Small Parcel,FBA,14.10 x 6.20 x 11.10 cm,0.25,N/A,"Jan 12, 2024",,No,26,VEYOFLY UK
"BBLIKE Fruit Fly Traps - 60 Pcs Fly Catcher Bug for Home Use, Fungus Gnat Sticky Killer for Protect Indoor Plants, Fruit Fly Papers Control for Flies Multiple Insects Non-Toxic, Waterproof (Black)",B0BX616P64,Sticky Trap,,https://www.amazon.co.uk/dp/B0BX616P64?psc=1,https://m.media-amazon.com/images/I/71bC9-eYbgL._AC_SY355_.jpg,BBLIKE,6.94,658,415,400,"3,737.66","2,479.77",196,"1,346",CN,2.63,1,4.5,702,7,11,ZQIAN UK,Garden,Standard Envelope,FBA,13.50 x 2.30 x 13.50 cm,0.19,N/A,"Apr 15, 2023",,No,35,ZQIAN UK
"Hybrid Spectrum, Dusk-to-Dawn Fly Zapper Electric Fly Catcher Fruit Flies Trap Outdoor & Indoor for Home Use Mosquito Killer Bug Zapper Insect Lamp with Light Sensor - UK Plug",B0C3TCCMDT,Electric,,https://www.amazon.co.uk/dp/B0C3TCCMDT?psc=1,https://m.media-amazon.com/images/I/71iZkdnoBJL._AC_SY355_.jpg,GeckoMan,40.57,206,71,50,"8,121.74","2,824.44",175,"2,544",CN,8.51,1,4,"2,022",7,32,Dan - UK,Garden,Standard Parcel,FBA,24.21 x 16.21 x 16.21 cm,0.87,N/A,"Jul 30, 2023",,No,32,Dan - UK
"Super Ninja Fruit Fly Trap - 1 pack, Highly Effective Fruit Fly Killer for Home & Kitchen, Up to 3 Weeks of Performance per Bottle, Child & Pet Friendly",B089MB7VFZ,Lure,1,https://www.amazon.co.uk/dp/B089MB7VFZ?psc=1,https://m.media-amazon.com/images/I/81-JSay2EjL._AC_SY355_.jpg,Super Ninja,8.1,"2,052",448,400,"28,474.21","3,129.33",152,116,NL,4.22,1,3.9,"15,950",9,221,Super Ninja ECO,Garden,Large Envelope,FBA,12.60 x 3.40 x 7.20 cm,0.03,N/A,"Sep 11, 2020",,No,66,Super Ninja ECO
"Fruit Fly Traps, TRIITECH 50 Pack Sticky Fly Traps, Plant Fly Stickers, Sticky Bug Traps for Indoor and Outdoor(Yellow)",B0CM65M5K3,Sticky Trap,,https://www.amazon.co.uk/dp/B0CM65M5K3?psc=1,https://m.media-amazon.com/images/I/716Y5OH8BGL._AC_SY355_.jpg,TRIITECH,6.92,"1,125",538,500,"7,069.62","3,207.45",119,771,CN,2.21,2,4.2,"1,832",7,123,Soaring Store,Garden,Standard Envelope,FBA,22.00 x 2.30 x 15.00 cm,0.19,N/A,"Aug 29, 2024",,No,19,Soaring Store
"Fruit Fly Drain Treatment | Drain Fly Eliminator | All-Natural, Eliminates Gnats, Sewer Flies and More - Works in All Drains - 1 Gallon",B0BCP3VT97,Drain,,https://www.amazon.co.uk/dp/B0BCP3VT97?psc=1,https://m.media-amazon.com/images/I/51uGZ96i++L._SX342_.jpg,Eco Strong,79.72,825,56,N/A,"27,092.92","3,485.24",135,"31,913",N/A,12.08,13,4.1,"1,532",9,39,HACI YILMAZ LTD,Garden,Standard Parcel,MFN,32.59 x 16.51 x 17.91 cm,3.94,N/A,"Oct 2, 2022",,No,41,HACI YILMAZ LTD
"GeckoMan Hybrid Spectrum, Waterproof Switch, 15W Fly Zapper Electric Fly Catcher Bug Zapper Mosquito Killer Flies Killer Trap for Home Indoor UK Plug",B0BVG29Y71,Electric,,https://www.amazon.co.uk/dp/B0BVG29Y71?psc=1,https://m.media-amazon.com/images/I/71fUksNFfeL._AC_SY355_.jpg,GeckoMan,34.77,206,108,50,"8,121.74","3,662.23",149,"2,544",N/A,7.99,1,4,"2,022",7,32,Dan - UK,Garden,Standard Parcel,FBA,31.00 x 19.60 x 23.50 cm,0.9,N/A,"May 26, 2023",,No,34,Dan - UK
"Blooven 30 PCS Fruit Fly Traps Black, Double-sided Fungus Gnat Sticky Catcher For Multiple Insects, Plant Fly Control Indoor (30 PCS Black)",B0CNGLFVJT,Sticky Trap,,https://www.amazon.co.uk/dp/B0CNGLFVJT?psc=1,https://m.media-amazon.com/images/I/71cIMjJOHTL._AC_SY355_.jpg,Blooven,5.79,"12,526",901,600,"69,584.13","4,484.92",139,16,N/A,2.41,1,4.3,"21,633",6,544,Blooven,Garden,Standard Envelope,FBA,17.30 x 1.20 x 16.60 cm,0.1,N/A,"Jan 25, 2024",,No,26,Blooven
"Super Ninja Fruit Fly Trap - 12 pack, Highly Effective Fruit Fly Killer for Home & Kitchen, Up to 3 Weeks of Performance per Bottle, Child & Pet Friendly",B0C6M6DB5H,Lure,12,https://www.amazon.co.uk/dp/B0C6M6DB5H?psc=1,https://m.media-amazon.com/images/I/91+MZfL5CcL._AC_SY355_.jpg,Super Ninja,44.05,"3,960",123,100,"49,341.92","4,668.40",153,78,NL,9.44,1,3.8,"21,147",8,213,Super Ninja ECO,Garden,Small Parcel,FBA,12.10 x 6.20 x 11.20 cm,0.37,N/A,"Jun 30, 2023",,No,33,Super Ninja ECO
"Super Ninja Fungus Gnat Killer - 10 Pack, Effective Gnat Killer for Indoor Plants, Non-Toxic & Nature-Friendly, Safe for Kids & Pets Yellow Sticky Fly Traps, Lasts Up to 3 Months",B095YZY2TJ,Sticky Trap,,https://www.amazon.co.uk/dp/B095YZY2TJ?psc=1,https://m.media-amazon.com/images/I/81gaRn+VsXL._AC_SY355_.jpg,Super Ninja,4.63,"6,776","1,280",700,"40,036.44","5,108.79",178,71,NL,2.1,2,4.2,"9,276",7,361,Super Ninja ECO,Garden,Standard Envelope,FBA,14.80 x 1.40 x 7.30 cm,0.03,N/A,"Jul 2, 2021",,No,56,Super Ninja ECO
"Zero In Outdoor Fly Trap - Ready-Baited Fly Catcher, Twin Pack - Non-Toxic, Insect Trap to Attract & Trap Bugs - Suitable for Garden & Outdoor Use, Lasts up to 2-3 Weeks",B00VAGK1RU,Lure,2,https://www.amazon.co.uk/dp/B00VAGK1RU?psc=1,https://m.media-amazon.com/images/I/61LZEmOsOCL._AC_SY355_.jpg,Zero In,10.71,899,538,400,"8,465.77","5,416.89",169,274,AMZ,3.44,1,4.3,"21,329",8,23,Amazon,Garden,Small Parcel,AMZ,23.10 x 7.70 x 14.90 cm,0.16,N/A,"Jul 1, 2016",,No,116,Amazon
"Blooven Fruit Fly Traps, Double-sided Fungus Gnat Sticky Catcher For Multiple Insects, Plant Fly Control Indoor (Rectangle 6.5 x 9 cm 40 PCS)",B0BW8YJZN9,Sticky Trap,,https://www.amazon.co.uk/dp/B0BW8YJZN9?psc=1,https://m.media-amazon.com/images/I/71BYUBTLNYL._AC_SY355_.jpg,Blooven,6.6,"12,526","1,032",700,"69,584.13","6,028.30",141,16,CN,2.19,1,4.3,"21,633",6,568,Blooven,Garden,Standard Envelope,FBA,14.00 x 2.00 x 10.00 cm,0.12,N/A,"Jun 29, 2023",,No,33,Blooven
